"0.0000000000","-0.7705806058","2.2964827955","3.5629816129","0.4654001678","1.3351644160","0.4501411460","0.0076295109...8","0.0076295109...9","0.0076295109...10","0.0076295109...11","0.0076295109...12","0.0076295109...13","-0.3865415427","-0.0742809186","-0.9717555505","-0.0230106050","0.0919813840","-0.9241474022","0.0000610361...20","0.0000610361...21","0.0000610361...22","0.0000610361...23","0.0000610361...24","0.0000610361...25","0.1926604105","-0.1064164187","-0.0697337301","0.2308690013","-0.0705882353","0.0596627756","0.0000305180...32","0.0000305180...33","0.0000305180...34","0.0000305180...35","0.0000305180...36","0.0000305180...37","4.6301976043","0.6189059281","0.8250125887","2.4750377661","...42"
0.22,-1.1215381094,1.4267185473,12.0469977874,0.5111772335,1.2741283284,0.4348821241,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,-0.3768978408,-0.1100480659,-0.910109102,-0.0227664607,0.0813611048,-0.9215838865,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,0.1885099565,-0.1103837644,-0.069672694,0.2336156252,-0.0707103075,0.0706492714,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.2275883116,2.8052185855,0.8250125887,2.4750377661,NA
0.24,-1.6861219196,3.1815060655,12.7489127947,0.4196231022,1.2130922408,0.4654001678,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,-0.3815365835,-0.1091935607,-0.9258564126,-0.0188601511,0.0825818265,-0.9207293812,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,0.1879606317,-0.1115434501,-0.0691233692,0.2316624704,-0.0744335088,0.0486762799,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.2263675898,2.8052185855,0.8250125887,2.4750377661,NA
0.26,-1.6098268101,4.2496375982,12.7794308385,0.3128099489,1.3046463722,0.4196231022,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,-0.3699397269,-0.0975967041,-0.9271992065,-0.0224002441,0.0916151675,-0.9271992065,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,0.1893644617,-0.1125810636,-0.0687571527,0.2283665217,-0.0730296788,0.0530708782,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.2288090333,2.8064393072,0.8250125887,2.4750377661,NA
0.28,-4.3869687953,2.3880369268,14.3663691157,0.4806591897,1.0452429999,0.4348821241,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,-0.3583428702,-0.0932021057,-0.9092545968,-0.0178835737,0.0921034562,-0.9241474022,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,0.1887541009,-0.1117875944,-0.0693064775,0.2300144961,-0.0729076066,0.055085069,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.2288090333,2.8064393072,0.8250125887,2.4750377661,NA
0.3,-1.4267185473,3.7613488975,16.8688487068,0.5569542992,1.2283512627,0.3585870146,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,-0.3552910658,-0.066224155,-0.9293965057,-0.0208133059,0.082948043,-0.9234149691,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,0.1882658122,-0.1128252079,-0.0698558022,0.2312962539,-0.0740672923,0.050873579,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.2263675898,2.8052185855,0.8250125887,2.4750377661,NA
0.32,2.1133745327,7.0572976272,23.4454871443,0.3891050584,1.2588693065,0.3585870146,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,-0.3593194476,-0.0546272984,-0.9320820935,-0.022278172,0.0803845274,-0.924757763,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,0.1875944152,-0.1131914244,-0.0680857557,0.2325169757,-0.0730907149,0.0545357443,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.2227054246,2.8039978637,0.8250125887,2.4750377661,NA
0.34,7.3319600214,7.9575799191,32.7687495232,0.5416952773,1.182574197,0.1144426642,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,-0.3561455711,-0.0381475547,-0.9353780423,-0.0225223163,0.0857557031,-0.9280537118,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,0.1866178378,-0.1153276875,-0.06692607,0.2317845426,-0.0729686427,0.0553292134,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.2227054246,2.8039978637,0.8250125887,2.4750377661,NA
0.36,6.2790875105,6.7215991455,44.9607080186,0.4348821241,1.1673151751,0.3280689708,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,-0.3493095293,-0.0537727932,-0.9275654231,-0.022278172,0.0917372396,-0.9250019074,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,0.1870450904,-0.1170366979,-0.0656443122,0.2314183261,-0.0704661631,0.0436102846,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.2263675898,2.8052185855,0.8250125887,2.4750377661,NA
0.38,4.4480048829,6.1722743572,59.2431525139,0.5416952773,1.2741283284,0.1754787518,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,-0.3455252918,-0.0371709773,-0.9400167849,-0.0211795224,0.0881971466,-0.9265888457,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,0.185397116,-0.1210040436,-0.0660715648,0.2291599908,-0.0715648127,0.0491645686,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.2263675898,2.8052185855,0.8250125887,2.4750377661,NA
0.4,7.2861829557,8.3848325322,80.9872587167,0.450141146,1.2436102846,0.4348821241,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,-0.345647364,-0.003479057,-0.9612573434,-0.023010605,0.0819714656,-0.9217059586,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,0.1823453117,-0.1235675593,-0.0647287709,0.2305638209,-0.0708934157,0.0495307851,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.2239261463,2.8052185855,0.8250125887,2.4750377661,NA
