"0.0000000000","-1.0605020218","-6.5232318608","2.3880369268","0.5264362554","1.1215381094","0.4348821241","0.0076295109...8","0.0076295109...9","0.0076295109...10","0.0076295109...11","0.0076295109...12","0.0076295109...13","-0.4834668498","-0.0813611048","-0.8770275425","-0.0205691615","0.0872205692","-0.9231708248","0.0000610361...20","0.0000610361...21","0.0000610361...22","0.0000610361...23","0.0000610361...24","0.0000610361...25","0.1800869764","-0.1263752193","-0.0700389105","0.2284885939","-0.0731517510","0.0478217746","0.0000305180...32","0.0000305180...33","0.0000305180...34","0.0000305180...35","0.0000305180...36","0.0000305180...37","4.6301976043","0.6164644846","0.8250125887","2.4750377661","...42"
0.22,1.0910200656,-5.4551003281,1.625085832,0.5569542992,1.1367971313,0.4348821241,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,-0.4856641489,-0.0748912795,-0.8762951095,-0.0232547494,0.0869764248,-0.9246356909,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,0.1810025177,-0.1256427863,-0.0709544518,0.2317235065,-0.071808957,0.0486762799,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.2324711986,2.8064393072,0.8250125887,2.4750377661,NA
0.24,0.3433279927,-5.0583657588,2.2507057298,0.5416952773,1.2588693065,0.5111772335,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,-0.4877393759,-0.0739147021,-0.8777599756,-0.023010605,0.0833142596,-0.9259784848,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,0.1809414817,-0.1256427863,-0.071076524,0.2331883726,-0.0723582818,0.038300145,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.2288090333,2.8064393072,0.8250125887,2.4750377661,NA
0.26,0.8773937591,-3.8681620508,2.0370794232,0.5264362554,1.3962005035,0.2670328832,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,-0.4873731594,-0.0776989395,-0.8809338521,-0.0234988937,0.0874647135,-0.9241474022,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,0.1808194095,-0.1259479667,-0.0711985962,0.2308690013,-0.0694285496,0.0513618677,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.2239261463,2.8039978637,0.8250125887,2.4750377661,NA
0.28,0.9231708248,-4.2496375982,2.1286335546,0.587472343,1.2283512627,0.3585870146,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,-0.4827344167,-0.08502327,-0.8765392538,-0.022278172,0.0873426413,-0.9263447013,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,0.1795986877,-0.1252765698,-0.0708934157,0.232028687,-0.0761425193,0.0494087129,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.2227054246,2.8039978637,0.8250125887,2.4750377661,NA
0.3,0.4959182116,-4.4022278172,2.2507057298,0.5569542992,1.1520561532,0.3128099489,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,-0.4827344167,-0.08502327,-0.8765392538,-0.0227664607,0.0879530022,-0.9253681239,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,0.1811245899,-0.1256427863,-0.0710154879,0.2300755322,-0.0751659419,0.0629587243,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.2239261463,2.8052185855,0.8250125887,2.4750377661,NA
0.32,0.0534065766,-4.0360112917,2.4032959487,0.5416952773,1.3809414817,0.4654001678,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,-0.4849317159,-0.0900282292,-0.8793469139,-0.022278172,0.0873426413,-0.9232928969,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,0.1813687343,-0.1236896315,-0.0716868849,0.2324559396,-0.0732738231,0.0569161517,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.2275883116,2.8052185855,0.8250125887,2.4750377661,NA
0.34,0.8773937591,-3.9597161822,1.7929350729,0.6027313649,1.2130922408,0.3738460365,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,-0.4838330663,-0.0881971466,-0.8778820478,-0.0215457389,0.0852674144,-0.92964065,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,0.179781796,-0.1250324254,-0.0713206683,0.2343480583,-0.0715037766,0.0472114137,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.2263675898,2.8052185855,0.8250125887,2.4750377661,NA
0.36,1.2588693065,-4.2648966201,1.0605020218,0.6485084306,1.3046463722,0.4654001678,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,-0.4859082933,-0.0883192187,-0.8776379034,-0.020935378,0.0863660639,-0.9241474022,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,0.1799038682,-0.1260700389,-0.0711375601,0.2331883726,-0.0725413901,0.0509956512,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.2227054246,2.8039978637,0.8250125887,2.4750377661,NA
0.38,1.2893873503,-4.4022278172,0.8621347372,0.5111772335,1.2893873503,0.4196231022,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,-0.4866407263,-0.0900282292,-0.8751964599,-0.0242313268,0.0880750744,-0.9236591135,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,0.1802700847,-0.1258258946,-0.0716868849,0.2312352178,-0.0727244984,0.0587472343,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.2202639811,2.802777142,0.8250125887,2.4750377661,NA
0.4,1.8692301823,-4.7684443427,0.9231708248,0.450141146,1.0757610437,0.3738460365,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,-0.4867627985,-0.0857557031,-0.8783703365,-0.0225223163,0.0872205692,-0.9215838865,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,0.1807583734,-0.1260700389,-0.071076524,0.2316014343,-0.0751049058,0.0447699702,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.2227054246,2.8052185855,0.8250125887,2.4750377661,NA
